Time (s),u,delta,,Params
2.23,0.233498705,0.046139864,,
2.24,0.234250263,0.04497141,,
2.25,0.234998073,0.043801337,,
2.26,0.235742123,0.042629688,,
2.27,0.236482401,0.041456504,,
2.28,0.237218895,0.040281827,,
2.29,0.237951594,0.039105701,,
2.3,0.238680486,0.037928166,,
2.31,0.239405559,0.036749266,,
2.32,0.240126801,0.035569044,,
2.33,0.240844201,0.03438754,,
2.34,0.241557748,0.033204799,,
2.35,0.24226743,0.032020862,,
2.36,0.242973236,0.030835773,,
2.37,0.243675154,0.029649573,,
2.38,0.244373173,0.028462307,,
2.39,0.245067282,0.027274015,,
2.4,0.24575747,0.026084742,,
2.41,0.246443727,0.024894529,,
2.42,0.24712604,0.023703421,,
2.43,0.247804399,0.022511459,,
2.44,0.248478793,0.021318686,,
2.45,0.249149211,0.020125147,,
2.46,0.249815643,0.018930882,,
2.47,0.250478078,0.017735937,,
2.48,0.251136506,0.016540352,,
2.49,0.251790915,0.015344172,,
2.5,0.252441295,0.01414744,,
2.51,0.253087637,0.012950199,,
2.52,0.253729929,0.011752491,,
2.53,0.254368162,0.01055436,,
2.54,0.255002324,0.00935585,,
2.55,0.255632407,0.008157002,,
2.56,0.256258399,0.006957861,,
2.57,0.256880291,0.005758469,,
2.58,0.257498073,0.00455887,,
2.59,0.258111736,0.003359107,,
2.6,0.258721268,0.002159223,,
2.61,0.259326661,0.000959262,,
2.62,0.259927905,-0.000240735,,
2.63,0.26052499,-0.001440722,,
2.64,0.261117906,-0.002640658,,
2.65,0.261706645,-0.003840499,,
2.66,0.262291196,-0.005040201,,
2.67,0.262871551,-0.006239722,,
2.68,0.263447699,-0.007439018,,
2.69,0.264019633,-0.008638047,,
2.7,0.264587342,-0.009836764,,
2.71,0.265150818,-0.011035128,,
2.72,0.265710051,-0.012233094,,
2.73,0.266265033,-0.01343062,,
2.74,0.266815755,-0.014627662,,
2.75,0.267362208,-0.015824178,,
2.76,0.267904383,-0.017020124,,
2.77,0.268442272,-0.018215457,,
2.78,0.268975865,-0.019410135,,
2.79,0.269505155,-0.020604113,,
2.8,0.270030133,-0.02179735,,
2.81,0.27055079,-0.022989803,,
2.82,0.271067118,-0.024181427,,
2.83,0.27157911,-0.025372182,,
2.84,0.272086756,-0.026562022,,
2.85,0.272590049,-0.027750907,,
2.86,0.27308898,-0.028938793,,
2.87,0.273583542,-0.030125636,,
2.88,0.274073727,-0.031311395,,
2.89,0.274559526,-0.032496027,,
2.9,0.275040933,-0.03367949,,
2.91,0.275517938,-0.034861739,,
2.92,0.275990536,-0.036042734,,
2.93,0.276458718,-0.037222431,,
2.94,0.276922476,-0.038400788,,
2.95,0.277381804,-0.039577763,,
2.96,0.277836693,-0.040753313,,
2.97,0.278287137,-0.041927396,,
2.98,0.278733129,-0.043099969,,
2.99,0.279174661,-0.044270991,,
3,0.279611726,-0.045440419,,
3.01,0.280044317,-0.046608211,,
3.02,0.280472428,-0.047774325,,
3.03,0.280896051,-0.04893872,,
3.04,0.281315179,-0.050101353,,
3.05,0.281729807,-0.051262182,,
3.06,0.282139927,-0.052421165,,
3.07,0.282545533,-0.053578262,,
3.08,0.282946618,-0.054733429,,
3.09,0.283343175,-0.055886627,,
3.1,0.2837352,-0.057037812,,
3.11,0.284122684,-0.058186944,,
3.12,0.284505623,-0.059333981,,
3.13,0.28488401,-0.060478882,,
3.14,0.285257838,-0.061621606,,
3.15,0.285627102,-0.062762112,,
3.16,0.285991797,-0.063900358,,
3.17,0.286351915,-0.065036304,,
3.18,0.286707452,-0.066169908,,
3.19,0.287058402,-0.067301131,,
3.2,0.287404758,-0.06842993,,
3.21,0.287746516,-0.069556266,,
3.22,0.28808367,-0.070680098,,
3.23,0.288416215,-0.071801386,,
3.24,0.288744145,-0.072920089,,
3.25,0.289067456,-0.074036166,,
3.26,0.289386141,-0.075149579,,
3.27,0.289700196,-0.076260286,,
3.28,0.290009616,-0.077368247,,
3.29,0.290314395,-0.078473423,,
3.3,0.29061453,-0.079575775,,
3.31,0.290910015,-0.080675261,,
3.32,0.291200845,-0.081771844,,
3.33,0.291487016,-0.082865482,,
3.34,0.291768524,-0.083956137,,
3.35,0.292045363,-0.08504377,,
3.36,0.292317529,-0.086128342,,
3.37,0.292585018,-0.087209813,,
3.38,0.292847826,-0.088288144,,
3.39,0.293105948,-0.089363297,,
3.4,0.293359381,-0.090435232,,
3.41,0.29360812,-0.091503913,,
3.42,0.293852161,-0.092569299,,
3.43,0.2940915,-0.093631352,,
3.44,0.294326134,-0.094690035,,
3.45,0.294556059,-0.095745309,,
3.46,0.294781271,-0.096797136,,
3.47,0.295001767,-0.097845478,,
3.48,0.295217542,-0.098890298,,
3.49,0.295428594,-0.099931558,,
3.5,0.295634919,-0.100969221,,
3.51,0.295836514,-0.102003249,,
3.52,0.296033376,-0.103033604,,
3.53,0.296225501,-0.10406025,,
3.54,0.296412886,-0.10508315,,
3.55,0.296595529,-0.106102268,,
3.56,0.296773426,-0.107117565,,
3.57,0.296946575,-0.108129006,,
3.58,0.297114973,-0.109136555,,
3.59,0.297278617,-0.110140175,,
3.6,0.297437504,-0.111139829,,
3.61,0.297591633,-0.112135483,,
3.62,0.297741,-0.1131271,,
3.63,0.297885603,-0.114114644,,
3.64,0.29802544,-0.11509808,,
3.65,0.298160509,-0.116077373,,
3.66,0.298290807,-0.117052486,,
3.67,0.298416333,-0.118023386,,
3.68,0.298537083,-0.118990038,,
3.69,0.298653058,-0.119952405,,
3.7,0.298764253,-0.120910454,,
3.71,0.298870669,-0.121864151,,
3.72,0.298972303,-0.12281346,,
3.73,0.299069153,-0.123758348,,
3.74,0.299161218,-0.124698781,,
3.75,0.299248496,-0.125634725,,
3.76,0.299330986,-0.126566145,,
3.77,0.299408688,-0.12749301,,
3.78,0.299481598,-0.128415285,,
3.79,0.299549717,-0.129332936,,
3.8,0.299613043,-0.130245932,,
3.81,0.299671576,-0.131154239,,
3.82,0.299725313,-0.132057824,,
3.83,0.299774255,-0.132956656,,
3.84,0.299818401,-0.133850701,,
3.85,0.299857749,-0.134739927,,
3.86,0.2998923,-0.135624303,,
3.87,0.299922052,-0.136503796,,
3.88,0.299947006,-0.137378375,,
3.89,0.299967161,-0.138248009,,
3.9,0.299982516,-0.139112665,,
3.91,0.299993072,-0.139972314,,
3.92,0.299998827,-0.140826923,,
3.93,0.299999783,-0.141676463,,
3.94,0.299995938,-0.142520903,,
3.95,0.299987294,-0.143360211,,
3.96,0.29997385,-0.144194359,,
3.97,0.299955606,-0.145023316,,
3.98,0.299932563,-0.145847052,,
3.99,0.299904721,-0.146665538,,
4,0.299872081,-0.147478743,,
4.01,0.299834643,-0.148286639,,
4.02,0.299792407,-0.149089197,,
4.03,0.299745375,-0.149886388,,
4.04,0.299693546,-0.150678183,,
4.05,0.299636923,-0.151464554,,
4.06,0.299575506,-0.152245472,,
4.07,0.299509295,-0.153020909,,
4.08,0.299438292,-0.153790837,,
4.09,0.299362498,-0.154555229,,
4.1,0.299281914,-0.155314057,,
4.11,0.299196542,-0.156067293,,
4.12,0.299106383,-0.156814911,,
4.13,0.299011438,-0.157556884,,
4.14,0.298911709,-0.158293185,,
4.15,0.298807197,-0.159023787,,
4.16,0.298697904,-0.159748665,,
4.17,0.298583832,-0.160467791,,
4.18,0.298464983,-0.161181141,,
4.19,0.298341359,-0.161888688,,
4.2,0.298212961,-0.162590407,,
4.21,0.298079791,-0.163286273,,
4.22,0.297941852,-0.163976261,,
4.23,0.297799147,-0.164660346,,
4.24,0.297651676,-0.165338502,,
4.25,0.297499443,-0.166010707,,
4.26,0.29734245,-0.166676935,,
4.27,0.2971807,-0.167337163,,
4.28,0.297014194,-0.167991367,,
4.29,0.296842937,-0.168639523,,
4.3,0.29666693,-0.169281608,,
4.31,0.296486176,-0.169917599,,
4.32,0.296300679,-0.170547473,,
4.33,0.29611044,-0.171171208,,
4.34,0.295915464,-0.17178878,,
4.35,0.295715754,-0.172400167,,
4.36,0.295511312,-0.173005349,,
4.37,0.295302141,-0.173604302,,
4.38,0.295088246,-0.174197005,,
4.39,0.29486963,-0.174783438,,
4.4,0.294646295,-0.175363578,,
4.41,0.294418246,-0.175937405,,
4.42,0.294185487,-0.176504899,,
4.43,0.29394802,-0.177066038,,
4.44,0.293705851,-0.177620803,,
4.45,0.293458982,-0.178169173,,
4.46,0.293207418,-0.17871113,,
4.47,0.292951162,-0.179246653,,
4.48,0.29269022,-0.179775723,,
4.49,0.292424594,-0.180298321,,
4.5,0.292154289,-0.180814428,,
4.51,0.29187931,-0.181324027,,
4.52,0.291599661,-0.181827097,,
4.53,0.291315346,-0.182323622,,
4.54,0.291026371,-0.182813583,,
4.55,0.290732739,-0.183296963,,
4.56,0.290434455,-0.183773744,,
4.57,0.290131524,-0.184243909,,
4.58,0.289823951,-0.184707442,,
4.59,0.289511741,-0.185164325,,
4.6,0.289194899,-0.185614542,,
4.61,0.288873429,-0.186058077,,
4.62,0.288547338,-0.186494914,,
4.63,0.28821663,-0.186925037,,
4.64,0.287881311,-0.187348431,,
4.65,0.287541385,-0.187765081,,
4.66,0.287196859,-0.188174971,,
4.67,0.286847737,-0.188578086,,
4.68,0.286494026,-0.188974413,,
4.69,0.286135731,-0.189363937,,
4.7,0.285772858,-0.189746644,,
4.71,0.285405413,-0.19012252,,
4.72,0.285033401,-0.190491551,,
4.73,0.284656829,-0.190853725,,
4.74,0.284275702,-0.191209028,,
4.75,0.283890026,-0.191557448,,
4.76,0.283499809,-0.191898971,,
4.77,0.283105055,-0.192233586,,
4.78,0.282705772,-0.192561281,,
4.79,0.282301965,-0.192882044,,
4.8,0.281893642,-0.193195862,,
4.81,0.281480808,-0.193502726,,
4.82,0.281063471,-0.193802624,,
4.83,0.280641637,-0.194095545,,
4.84,0.280215312,-0.194381478,,
4.85,0.279784504,-0.194660414,,
4.86,0.27934922,-0.194932342,,
4.87,0.278909465,-0.195197253,,
4.88,0.278465249,-0.195455136,,
4.89,0.278016577,-0.195705983,,
4.9,0.277563456,-0.195949785,,
4.91,0.277105895,-0.196186532,,
4.92,0.2766439,-0.196416217,,
4.93,0.276177478,-0.196638831,,
4.94,0.275706638,-0.196854366,,
4.95,0.275231387,-0.197062814,,
4.96,0.274751731,-0.197264167,,
4.97,0.27426768,-0.19745842,,
4.98,0.273779241,-0.197645564,,
4.99,0.273286421,-0.197825592,,
5,0.272789228,-0.197998499,,
