Time (s),u,delta,,Params
4,-0.227040749,-0.653643621,,
4.01,-0.228990295,-0.64604304,,
4.02,-0.230916942,-0.638377856,,
4.03,-0.232820498,-0.630648834,,
4.04,-0.234700772,-0.622856748,,
4.05,-0.236557576,-0.615002377,,
4.06,-0.238390725,-0.607086506,,
4.07,-0.240200035,-0.599109926,,
4.08,-0.241985325,-0.591073437,,
4.09,-0.243746416,-0.58297784,,
4.1,-0.245483133,-0.574823947,,
4.11,-0.247195302,-0.566612571,,
4.12,-0.248882752,-0.558344534,,
4.13,-0.250545314,-0.550020664,,
4.14,-0.252182821,-0.541641792,,
4.15,-0.25379511,-0.533208756,,
4.16,-0.25538202,-0.5247224,,
4.17,-0.256943392,-0.516183572,,
4.18,-0.25847907,-0.507593126,,
4.19,-0.2599889,-0.498951921,,
4.2,-0.261472732,-0.490260821,,
4.21,-0.262930416,-0.481520696,,
4.22,-0.264361808,-0.472732419,,
4.23,-0.265766763,-0.463896869,,
4.24,-0.267145143,-0.45501493,,
4.25,-0.268496807,-0.44608749,,
4.26,-0.269821623,-0.437115441,,
4.27,-0.271119456,-0.428099682,,
4.28,-0.272390178,-0.419041112,,
4.29,-0.273633661,-0.409940639,,
4.3,-0.274849781,-0.400799172,,
4.31,-0.276038416,-0.391617626,,
4.32,-0.277199448,-0.382396918,,
4.33,-0.278332759,-0.37313797,,
4.34,-0.279438238,-0.36384171,,
4.35,-0.280515773,-0.354509065,,
4.36,-0.281565257,-0.34514097,,
4.37,-0.282586585,-0.335738361,,
4.38,-0.283579654,-0.326302178,,
4.39,-0.284544365,-0.316833366,,
4.4,-0.285480622,-0.30733287,,
4.41,-0.286388331,-0.297801641,,
4.42,-0.287267402,-0.288240633,,
4.43,-0.288117746,-0.2786508,,
4.44,-0.288939279,-0.269033103,,
4.45,-0.289731918,-0.259388503,,
4.46,-0.290495584,-0.249717964,,
4.47,-0.291230201,-0.240022453,,
4.48,-0.291935695,-0.230302941,,
4.49,-0.292611996,-0.220560398,,
4.5,-0.293259035,-0.210795799,,
4.51,-0.293876749,-0.201010121,,
4.52,-0.294465076,-0.191204343,,
4.53,-0.295023956,-0.181379444,,
4.54,-0.295553334,-0.171536407,,
4.55,-0.296053158,-0.161676216,,
4.56,-0.296523376,-0.151799858,,
4.57,-0.296963942,-0.141908321,,
4.58,-0.297374811,-0.132002592,,
4.59,-0.297755944,-0.122083664,,
4.6,-0.298107301,-0.112152527,,
4.61,-0.298428848,-0.102210175,,
4.62,-0.298720552,-0.092257602,,
4.63,-0.298982384,-0.082295803,,
4.64,-0.299214319,-0.072325775,,
4.65,-0.299416332,-0.062348515,,
4.66,-0.299588403,-0.052365019,,
4.67,-0.299730517,-0.042376287,,
4.68,-0.299842657,-0.032383318,,
4.69,-0.299924813,-0.02238711,,
4.7,-0.299976977,-0.012388663,,
4.71,-0.299999144,-0.002388978,,
4.72,-0.299991311,0.007610946,,
4.73,-0.299953479,0.017610109,,
4.74,-0.299885652,0.027607511,,
4.75,-0.299787837,0.037602153,,
4.76,-0.299660043,0.047593034,,
4.77,-0.299502283,0.057579156,,
4.78,-0.299314574,0.06755952,,
4.79,-0.299096933,0.077533128,,
4.8,-0.298849383,0.087498983,,
4.81,-0.298571948,0.097456089,,
4.82,-0.298264656,0.107403448,,
4.83,-0.297927538,0.117340068,,
4.84,-0.297560627,0.127264953,,
4.85,-0.297163961,0.137177112,,
4.86,-0.296737578,0.147075554,,
4.87,-0.296281522,0.156959288,,
4.88,-0.295795838,0.166827326,,
4.89,-0.295280575,0.176678681,,
4.9,-0.294735784,0.186512369,,
4.91,-0.294161519,0.196327406,,
4.92,-0.293557839,0.206122811,,
4.93,-0.292924803,0.215897603,,
4.94,-0.292262475,0.225650805,,
4.95,-0.291570921,0.235381443,,
4.96,-0.29085021,0.245088543,,
4.97,-0.290100414,0.254771134,,
4.98,-0.289321609,0.264428248,,
4.99,-0.288513871,0.27405892,,
5,-0.287677282,0.283662185,,
